order_item_id;order_id;product_id;line_number;quantity
OI001;O001;P001;1;2
OI002;O001;P011;2;3
OI003;O001;P031;3;1
OI004;O002;P002;1;1
OI005;O002;P014;2;4
OI006;O003;P022;1;2
OI007;O003;P033;2;1
OI008;O004;P003;1;2
OI009;O004;P018;2;2
OI010;O005;P021;1;3
OI011;O005;P038;2;1
OI012;O006;P006;1;1
OI013;O006;P024;2;2
OI014;O006;P037;3;2
OI015;O007;P004;1;1
OI016;O007;P015;2;2
OI017;O008;P008;1;2
OI018;O008;P020;2;1
OI019;O009;P027;1;3
OI020;O009;P039;2;2
OI021;O010;P010;1;1
OI022;O010;P016;2;2
OI023;O011;P005;1;1
OI024;O011;P012;2;5
OI025;O011;P032;3;1
OI026;O012;P023;1;2
OI027;O012;P035;2;3
OI028;O013;P009;1;1
OI029;O013;P017;2;6
OI030;O014;P019;1;2
OI031;O014;P040;2;1
OI032;O015;P028;1;1
OI033;O015;P030;2;2
OI034;O016;P007;1;2
OI035;O016;P013;2;1
OI036;O016;P034;3;1
OI037;O017;P001;1;1
OI038;O017;P014;2;3
OI039;O018;P025;1;1
OI040;O018;P036;2;2
OI041;O019;P002;1;1
OI042;O019;P011;2;4
OI043;O019;P031;3;2
OI044;O020;P003;1;2
OI045;O020;P021;2;1
OI046;O020;P038;3;1
